,sl,index,sentence,promptsForPython,promptsForJulius
0,1,sa1,She had your dark suit in greasy wash water all year.,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR,*/sample1 SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
1,2,sa2,Don't ask me to carry an oily rag like that.,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT,*/sample2 DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
2,3,sx3,This was easy for us.,THIS WAS EASY FOR US,*/sample3 THIS WAS EASY FOR US
3,4,sx4,Jane may earn more money by working hard.,JANE MAY EARN MORE MONEY BY WORKING HARD,*/sample4 JANE MAY EARN MORE MONEY BY WORKING HARD
4,5,sx5,She is thinner than I am.,SHE IS THINNER THAN I AM,*/sample5 SHE IS THINNER THAN I AM
5,6,sx6,Bright sunshine shimmers on the ocean.,BRIGHT SUNSHINE SHIMMERS ON THE OCEAN,*/sample6 BRIGHT SUNSHINE SHIMMERS ON THE OCEAN
6,7,sx7,Nothing is as offensive as innocence.,NOTHING IS AS OFFENSIVE AS INNOCENCE,*/sample7 NOTHING IS AS OFFENSIVE AS INNOCENCE
7,8,sx8,Why yell or worry over silly items?,WHY YELL OR WORRY OVER SILLY ITEMS,*/sample8 WHY YELL OR WORRY OVER SILLY ITEMS
8,9,sx9,Where were you while we were away?,WHERE WERE YOU WHILE WE WERE AWAY,*/sample9 WHERE WERE YOU WHILE WE WERE AWAY
9,10,sx10,Are your grades higher or lower than Nancy's?,ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S,*/sample10 ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S
10,11,sx11,He will allow a rare lie.,HE WILL ALLOW A RARE LIE,*/sample11 HE WILL ALLOW A RARE LIE
11,12,sx12,Will Robin wear a yellow lily?,WILL ROBIN WEAR A YELLOW LILY,*/sample12 WILL ROBIN WEAR A YELLOW LILY
12,13,sx13,Swing your arm as high as you can.,SWING YOUR ARM AS HIGH AS YOU CAN,*/sample13 SWING YOUR ARM AS HIGH AS YOU CAN
13,14,sx14,"Before Thursday's exam, review every formula.",BEFORE THURSDAY'S EXAM REVIEW EVERY FORMULA,*/sample14 BEFORE THURSDAY'S EXAM REVIEW EVERY FORMULA
14,15,sx15,The museum hires musicians every evening.,THE MUSEUM HIRES MUSICIANS EVERY EVENING,*/sample15 THE MUSEUM HIRES MUSICIANS EVERY EVENING
15,16,sx16,A roll of wire lay near the wall.,A ROLL OF WIRE LAY NEAR THE WALL,*/sample16 A ROLL OF WIRE LAY NEAR THE WALL
16,17,sx17,Carl lives in a lively home.,CARL LIVES IN A LIVELY HOME,*/sample17 CARL LIVES IN A LIVELY HOME
17,18,sx18,Alimony harms a divorced man's wealth.,ALIMONY HARMS A DIVORCED MAN'S WEALTH,*/sample18 ALIMONY HARMS A DIVORCED MAN'S WEALTH
18,19,sx19,Aluminum silverware can often be flimsy.,ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY,*/sample19 ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
19,20,sx20,"She wore warm, fleecy, woolen overalls.",SHE WORE WARM FLEECY WOOLEN OVERALLS,*/sample20 SHE WORE WARM FLEECY WOOLEN OVERALLS
20,21,sx21,Alfalfa is healthy for you.,ALFALFA IS HEALTHY FOR YOU,*/sample21 ALFALFA IS HEALTHY FOR YOU
21,22,sx22,"When all else fails, use force.",WHEN ALL ELSE FAILS USE FORCE,*/sample22 WHEN ALL ELSE FAILS USE FORCE
22,23,sx23,Those musicians harmonize marvelously.,THOSE MUSICIANS HARMONIZE MARVELOUSLY,*/sample23 THOSE MUSICIANS HARMONIZE MARVELOUSLY
23,24,sx24,"Although always alone, we survive.",ALTHOUGH ALWAYS ALONE WE SURVIVE,*/sample24 ALTHOUGH ALWAYS ALONE WE SURVIVE
24,25,sx25,Only lawyers love millionaires.,ONLY LAWYERS LOVE MILLIONAIRES,*/sample25 ONLY LAWYERS LOVE MILLIONAIRES
25,26,sx26,Most young rise early every morning.,MOST YOUNG RISE EARLY EVERY MORNING,*/sample26 MOST YOUNG RISE EARLY EVERY MORNING
26,27,sx27,Did dad do academic bidding?,DID DAD DO ACADEMIC BIDDING,*/sample27 DID DAD DO ACADEMIC BIDDING
27,28,sx28,Beg that guard for one gallon of gas.,BEG THAT GUARD FOR ONE GALLON OF GAS,*/sample28 BEG THAT GUARD FOR ONE GALLON OF GAS
28,29,sx29,Help Greg to pick a peck of potatoes.,HELP GREG TO PICK A PECK OF POTATOES,*/sample29 HELP GREG TO PICK A PECK OF POTATOES
29,30,sx30,Get a calico cat to keep.,GET A CALICO CAT TO KEEP,*/sample30 GET A CALICO CAT TO KEEP
30,31,sx31,A good attitude is unbeatable.,A GOOD ATTITUDE IS UNBEATABLE,*/sample31 A GOOD ATTITUDE IS UNBEATABLE
31,32,sx32,It's fun to roast marshmallows on a gas burner.,IT'S FUN TO ROAST MARSHMALLOWS ON A GAS BURNER,*/sample32 IT'S FUN TO ROAST MARSHMALLOWS ON A GAS BURNER
32,33,sx33,Coconut cream pie makes a nice dessert.,COCONUT CREAM PIE MAKES A NICE DESSERT,*/sample33 COCONUT CREAM PIE MAKES A NICE DESSERT
33,34,sx34,Don't do Charlie's dirty dishes.,DON'T DO CHARLIE'S DIRTY DISHES,*/sample34 DON'T DO CHARLIE'S DIRTY DISHES
34,35,sx35,Help celebrate your brother's success.,HELP CELEBRATE YOUR BROTHER'S SUCCESS,*/sample35 HELP CELEBRATE YOUR BROTHER'S SUCCESS
35,36,sx36,Only the most accomplished artists obtain popularity.,ONLY THE MOST ACCOMPLISHED ARTISTS OBTAIN POPULARITY,*/sample36 ONLY THE MOST ACCOMPLISHED ARTISTS OBTAIN POPULARITY
36,37,sx37,Critical equipment needs proper maintenance.,CRITICAL EQUIPMENT NEEDS PROPER MAINTENANCE,*/sample37 CRITICAL EQUIPMENT NEEDS PROPER MAINTENANCE
37,38,sx38,Young people participate in athletic activities.,YOUNG PEOPLE PARTICIPATE IN ATHLETIC ACTIVITIES,*/sample38 YOUNG PEOPLE PARTICIPATE IN ATHLETIC ACTIVITIES
38,39,sx39,Barb's gold bracelet was a graduation present.,BARB'S GOLD BRACELET WAS A GRADUATION PRESENT,*/sample39 BARB'S GOLD BRACELET WAS A GRADUATION PRESENT
39,40,sx40,Stimulating discussions keep students' attention.,STIMULATING DISCUSSIONS KEEP STUDENTS' ATTENTION,*/sample40 STIMULATING DISCUSSIONS KEEP STUDENTS' ATTENTION
40,41,sx41,Etiquette mandates compliance with existing regulations.,ETIQUETTE MANDATES COMPLIANCE WITH EXISTING REGULATIONS,*/sample41 ETIQUETTE MANDATES COMPLIANCE WITH EXISTING REGULATIONS
41,42,sx42,Biblical scholars argue history.,BIBLICAL SCHOLARS ARGUE HISTORY,*/sample42 BIBLICAL SCHOLARS ARGUE HISTORY
42,43,sx43,Elderly people are often excluded.,ELDERLY PEOPLE ARE OFTEN EXCLUDED,*/sample43 ELDERLY PEOPLE ARE OFTEN EXCLUDED
43,44,sx44,Basketball can be an entertaining sport.,BASKETBALL CAN BE AN ENTERTAINING SPORT,*/sample44 BASKETBALL CAN BE AN ENTERTAINING SPORT
44,45,sx45,Addition and subtraction are learned skills.,ADDITION AND SUBTRACTION ARE LEARNED SKILLS,*/sample45 ADDITION AND SUBTRACTION ARE LEARNED SKILLS
